ZBAA,PEK,北京首都国际机场,北京,Asia/Shanghai
ZBAD,PKX,北京大兴国际机场,北京,Asia/Shanghai
ZBTJ,TSN,天津滨海国际机场,天津,Asia/Shanghai
ZSSS,SHA,上海虹桥国际机场,上海,Asia/Shanghai
ZSPD,PVG,上海浦东国际机场,上海,Asia/Shanghai
ZYCC,CGQ,长春龙嘉国际机场,长春,Asia/Shanghai
ZYYJ,YNJ,延吉朝阳川国际机场,延吉,Asia/Shanghai
ZYTX,SHE,沈阳桃仙国际机场,沈阳,Asia/Shanghai
ZYTL,DLC,大连周水子国际机场,大连,Asia/Shanghai
ZYHB,HRB,哈尔滨太平国际机场,哈尔滨,Asia/Shanghai
ZYMD,MDG,牡丹江海浪国际机场,牡丹江,Asia/Shanghai
ZBSJ,SJW,石家庄正定国际机场,石家庄,Asia/Shanghai
ZBYN,TYN,太原武宿国际机场,太原,Asia/Shanghai
ZSJN,TNA,济南遥墙国际机场,济南,Asia/Shanghai
ZSQD,TAO,青岛流亭国际机场,青岛,Asia/Shanghai
ZSXZ,XUZ,徐州观音国际机场,徐州,Asia/Shanghai
ZSLY,LYI,临沂启阳国际机场,临沂,Asia/Shanghai
ZSYT,YNT,烟台蓬莱国际机场,烟台,Asia/Shanghai
ZSWH,WEH,威海大水泊国际机场,威海,Asia/Shanghai
ZGGG,CAN,广州白云国际机场,广州,Asia/Shanghai
ZGSZ,SZX,深圳宝安国际机场,深圳,Asia/Shanghai
ZGOW,SWA,揭阳潮汕国际机场,揭阳,Asia/Shanghai
ZSFZ,FOC,福州长乐国际机场,福州,Asia/Shanghai
ZSAM,XMN,厦门高崎国际机场,厦门,Asia/Shanghai
ZSQZ,JJN,泉州晋江国际机场,泉州,Asia/Shanghai
ZSHC,HGH,杭州萧山国际机场,杭州,Asia/Shanghai
ZSNB,NGB,宁波栎社国际机场,宁波,Asia/Shanghai
ZSWZ,WNZ,温州龙湾国际机场,温州,Asia/Shanghai
ZSCN,KHN,南昌昌北国际机场,南昌,Asia/Shanghai
ZLXY,XIY,西安咸阳国际机场,西安,Asia/Shanghai
ZSNJ,NKG,南京禄口国际机场,南京,Asia/Shanghai
ZSWX,WUX,苏南硕放国际机场,无锡,Asia/Shanghai
ZSCG,CZX,常州奔牛国际机场,常州,Asia/Shanghai
ZSYA,YTY,扬州泰州国际机场,扬州,Asia/Shanghai
ZSNT,NTG,南通兴东国际机场,南通,Asia/Shanghai
ZSYN,YNZ,盐城南洋国际机场,盐城,Asia/Shanghai
ZSOF,HFE,合肥新桥国际机场,合肥,Asia/Shanghai
ZSTX,TXN,黄山屯溪国际机场,黄山,Asia/Shanghai
ZGHA,CSX,长沙黄花国际机场,长沙,Asia/Shanghai
ZHCC,CGO,郑州新郑国际机场,郑州,Asia/Shanghai
ZHHH,WUH,武汉天河国际机场,武汉,Asia/Shanghai
ZUCK,CKG,重庆江北国际机场,重庆,Asia/Shanghai
ZUUU,CTU,成都双流国际机场,成都,Asia/Shanghai
ZGDY,DYG,张家界荷花国际机场,张家界,Asia/Shanghai
ZJHK,HAK,海口美兰国际机场,海口,Asia/Shanghai
ZJSY,SYX,三亚凤凰国际机场,三亚,Asia/Shanghai
ZUGY,KWE,贵阳龙洞堡国际机场,贵阳,Asia/Shanghai
ZPPP,KMG,昆明长水国际机场,昆明,Asia/Shanghai
ZPJH,JHG,西双版纳嘎洒国际机场,西双版纳,Asia/Shanghai
ZPLJ,LJG,丽江三义国际机场,丽江,Asia/Shanghai
ZLLL,LHW,兰州中川国际机场,兰州,Asia/Shanghai
ZLXN,XNN,西宁曹家堡国际机场,西宁,Asia/Shanghai
ZGNN,NNG,南宁吴圩国际机场,南宁,Asia/Shanghai
ZGKL,KWL,桂林两江国际机场,桂林,Asia/Shanghai
ZLIC,INC,银川河东国际机场,银川,Asia/Shanghai
ZWWW,URC,乌鲁木齐地窝堡国际机场,乌鲁木齐,Asia/Shanghai
ZBHH,HET,呼和浩特白塔国际机场,呼和浩特,Asia/Shanghai
ZBDS,DSN,鄂尔多斯伊金霍洛国际机场,鄂尔多斯,Asia/Shanghai
VHHH,HKG,香港国际机场,香港,Asia/Hong_Kong
VMMC,MFM,澳门国际机场,澳门,Asia/Macau
RCTP,TPE,桃园国际机场,桃园,Asia/Taipei
RCSS,TSA,台北松山国际机场,台北,Asia/Taipei
RCKH,KHH,高雄国际机场,高雄,Asia/Taipei
RCMQ,RMQ,台中国际机场,台中,Asia/Taipei
RJAA,NRT,成田国际机场,日本东京,Asia/Tokyo
RJTT,HND,东京国际机场,日本东京,Asia/Tokyo
RJBB,KIX,关西国际机场,日本大阪,Asia/Tokyo
RJGG,NGO,中部国际机场,日本名古屋,Asia/Tokyo
RJCC,CTS,新千岁机场,日本北海道,Asia/Tokyo
RJFF,FUK,福冈机场,日本福冈,Asia/Tokyo
RKSI,ICN,仁川国际机场,韩国首尔,Asia/Seoul
RKSS,GMP,金浦国际机场,韩国首尔,Asia/Seoul
RKTN,TAE,大邱国际机场,韩国大邱,Asia/Seoul
RKPK,PUS,金海国际机场,韩国釜山,Asia/Seoul
RKPC,CJU,济州国际机场,韩国济州,Asia/Seoul
RKNY,YNY,襄阳国际机场,韩国襄阳,Asia/Seoul
ZKPY,FNJ,平壤顺安国际机场,朝鲜平壤,Asia/Pyongyang
KORD,ORD,芝加哥奥黑尔国际机场,美国芝加哥,America/Chicago
KATL,ATL,亚特兰大国际机场,美国亚特兰大,America/New_York
KLAX,LAX,洛杉矶国际机场,美国洛杉矶,America/Los_Angeles
KSFO,SFO,旧金山国际机场,美国旧金山,America/Los_Angeles
KJFK,JFK,肯尼迪国际机场,美国纽约,America/New_York
KIAD,IAD,华盛顿杜勒斯国际机场,美国华盛顿特区,America/New_York
KPHX,PHX,凤凰城天港国际机场,美国凤凰城,America/Phoenix
KIAH,IAH,休斯敦乔治·布什洲际机场,美国休斯敦,America/Chicago
KDEN,DEN,丹佛国际机场,美国丹佛,America/Denver
KPHL,PHL,费城国际机场,美国费城,America/New_York
KDFW,DFW,达拉斯-沃斯堡国际机场,美国达拉斯-沃斯堡,America/Chicago
KPDX,PDX,波特兰国际机场,美国波特兰,America/Los_Angeles
KSEA,SEA,西雅图国际机场,美国西雅图,America/Los_Angeles
KCLT,CLT,夏洛特道格拉斯国际机场,美国夏洛特,America/New_York
PHNL,HNL,檀香山国际机场,美国夏威夷檀香山,Pacific/Honolulu
KMCO,MCO,奥兰多国际机场,美国奥兰多,America/New_York
KSLC,SLC,盐湖城国际机场,美国盐湖城,America/Denver
KBOS,BOS,波士顿洛根国际机场,美国波士顿,America/New_York
CYYZ,YYZ,多伦多皮尔逊国际机场,加拿大多伦多,America/Toronto
CYVR,YVR,温哥华国际机场,加拿大温哥华,America/Vancouver
CYUL,YUL,蒙特利尔特鲁多国际机场,加拿大多佛尔,America/Toronto
EGLL,LHR,伦敦希斯罗机场,英国伦敦,Europe/London
EIDW,DUB,都柏林国际机场,爱尔兰都柏林,Europe/Dublin
LFPG,CDG,巴黎夏尔·戴高乐机场,法国巴黎,Europe/Paris
EDDF,FRA,法兰克福莱茵-美茵国际机场,德国法兰克福,Europe/Berlin
EDDM,MUC,慕尼黑国际机场,德国慕尼黑,Europe/Berlin
EHAM,AMS,阿姆斯特丹史基浦机场,荷兰阿姆斯特丹,Europe/Amsterdam
LSZH,ZRH,苏黎世国际机场,瑞士苏黎世,Europe/Zurich
LEMD,MAD,马德里巴拉哈斯国际机场,西班牙马德里,Europe/Madrid
LIRF,FCO,罗马菲乌米奇诺国际机场,意大利罗马,Europe/Rome
LIMC,MXP,米兰马尔彭萨国际机场,意大利米兰,Europe/Rome
WSSS,SIN,新加坡樟宜机场,新加坡,Asia/Singapore
WMKK,KUL,吉隆坡国际机场,马来西亚吉隆坡,Asia/Kuala_Lumpur
VTBS,BKK,素万那普国际机场,泰国曼谷,Asia/Bangkok
VABB,BOM,孟买国际机场,印度孟买,Asia/Kolkata
VVTS,SGN,新山一国际机场,越南胡志明市,Asia/Ho_Chi_Minh
WIII,CGK,雅加达苏加诺-哈达国际机场,印尼雅加达,Asia/Jakarta
VVNB,HAN,内排国际机场,越南河内,Asia/Bangkok
YMML,MEL,墨尔本国际机场,澳大利亚墨尔本,Australia/Melbourne
YSSY,SYD,悉尼国际机场,澳大利亚悉尼,Australia/Sydney
NZAA,AKL,奥克兰机场,新西兰奥克兰,Pacific/Auckland